,Region and country of birth,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998 1,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
2,Albania, 71 , 78 , 142 , 682 , 1400 , 1489 , 1420 , 4007 , 4375 ,4221,3699,4755,4358,3765,3362,3840,5947,7914,5737,5754,5137,4711,3612,3364,3186,3828,4653,5773,5722,5049
4,Armenia, X , X , X , 6145 , 6287 , 3984 , 1992 , 2441 , 2094 ,1146,1257,1253,1762,1800,1287,1833,2591,6317,4351,3586,3442,2979,2983,2681,2722,2913,2962,3543,3437,3217
5,Austria, 501 , 675 , 589 , 701 , 549 , 499 , 518 , 554 , 487 ,291,231,405,522,483,295,402,532,524,485,443,512,442,424,407,415,438,474,432,387,401
6,Azerbaijan, X , X , X , 1640 , 2943 , 2844 , 1885 , 1991 , 1450 ,504,746,1036,1152,1164,746,969,1523,2371,1166,1071,834,781,728,663,637,672,676,784,881,1015
7,Belarus, X , X , X , 3233 , 4702 , 5420 , 3791 , 4268 , 3062 ,981,1326,2170,2901,2923,1858,2255,3503,3086,2328,2390,2407,2038,1964,1659,1970,2015,1994,2127,1919,1951
8,Belgium, 548 , 682 , 525 , 780 , 657 , 516 , 569 , 651 , 554 ,421,428,670,814,769,455,638,859,716,638,642,686,592,567,574,675,632,662,691,625,537
10,Bulgaria, 265 , 428 , 623 , 1049 , 1029 , 981 , 1797 , 2066 , 2774 ,3735,4172,4917,4400,3608,3825,4253,5635,4828,3981,2960,3133,2570,2661,2440,2844,2981,2688,2670,2184,1798
11,Croatia, X , X , X , 77 , 370 , 412 , 608 , 810 , 720 ,549,584,1058,2853,3798,1153,1511,1780,945,482,455,496,357,349,336,353,297,348,388,375,286
14,Denmark, 593 , 666 , 601 , 764 , 735 , 606 , 551 , 608 , 429 ,457,368,537,706,609,405,566,718,699,517,498,603,518,459,459,506,514,609,521,461,353
15,Estonia, 14 , 20 , 23 , 194 , 191 , 272 , 205 , 280 , 285 ,128,142,239,348,343,235,322,438,423,368,287,282,260,191,227,211,220,189,211,176,151
16,Finland, 325 , 369 , 333 , 525 , 544 , 471 , 476 , 602 , 376 ,314,309,377,497,426,241,388,574,542,426,302,423,397,363,348,331,350,407,489,439,442
18,Georgia, X , X , X , 426 , 429 , 652 , 710 , 1157 , 812 ,295,311,493,786,886,735,964,1389,2003,1554,1620,1578,1518,1490,1341,1368,1240,1410,1635,1629,1643
19,Germany, X , X , 6509 , 9888 , 7312 , 6992 , 6237 , 6748 , 5723 ,5472,5201,7565,9790,8888,5064,7099,9264,8436,7582,7091,7583,6888,6125,5812,6032,5584,5436,5306,4662,4443
23,Greece, 2491 , 2742 , 2079 , 1858 , 1884 , 1440 , 1309 , 1452 , 1049 ,863,727,950,1155,1009,651,769,1070,1124,882,769,798,745,949,1054,1361,1235,1211,1451,1314,1214
24,Hungary, 1193 , 1655 , 1534 , 1304 , 1091 , 880 , 900 , 1183 , 949 ,809,698,1023,1263,1274,1021,1272,1567,1704,1266,1127,1314,1022,1044,1054,1052,996,1095,1048,972,917
25,Iceland, 124 , 107 , 117 , 156 , 164 , 140 , 125 , 182 , 119 ,111,79,129,134,93,97,105,135,145,95,122,131,105,90,103,139,86,104,97,86,89
26,Ireland, 6961 , 10333 , 4767 , 12226 , 13590 , 17256 , 5315 , 1731 , 1001 ,944,812,1296,1505,1398,983,1531,2088,1906,1503,1465,1637,1507,1371,1514,1626,1605,1607,1759,1485,1401
27,Italy, 2910 , 3287 , 2619 , 2592 , 2487 , 2305 , 2231 , 2501 , 1982 ,1831,1530,2448,3096,2578,1644,2346,3066,3215,2569,2514,2892,2579,2443,2673,2960,3298,3544,4078,3655,3329
28,Kazakhstan, X , X , X , 506 , 628 , 750 , 840 , 1089 , 1025 ,540,723,1493,2310,2315,1740,1906,2223,2073,1604,1630,1562,1282,1235,1202,1241,1221,1201,1310,1377,1378
29,Kyrgyzstan, X , X , X , 134 , 124 , 226 , 209 , 280 , 287 ,111,189,388,582,473,356,439,656,785,597,632,574,507,542,648,652,707,790,847,715,908
30,Latvia, 57 , 45 , 86 , 419 , 668 , 762 , 651 , 736 , 615 ,370,444,548,711,683,458,605,768,892,568,455,444,435,426,436,424,384,480,391,359,356
32,Lithuania, 63 , 67 , 157 , 353 , 529 , 663 , 767 , 1080 , 812 ,1191,1149,1349,1732,1786,2266,2480,2417,1885,1361,967,1069,985,936,924,854,747,750,735,645,658
33,Luxembourg, 16 , 31 , 21 , 25 , 14 , 24 , 15 , 32 , 28 ,21,11,26,34,32,16,13,35,28,39,28,30,22,24,19,40,26,27,34,33,30
34,Macedonia, X , X , X , X , X , 367 , 666 , 863 , 783 ,785,571,790,921,821,653,775,1070,1317,1227,1107,1128,963,1078,906,895,960,1060,1262,1027,1082
35,Malta, 74 , 77 , 83 , 85 , 52 , 75 , 72 , 52 , 54 ,59,43,54,57,44,37,57,74,70,53,66,58,74,51,62,43,39,58,65,75,58
36,Moldova, X , X , X , 1705 , 2646 , 2260 , 1856 , 1849 , 1347 ,562,754,1251,2068,2103,1151,1507,3506,3036,1356,1692,2295,1981,2258,2021,2485,2341,2496,2929,2480,2206
37,Monaco, 3 , 2 , 5 , 4 , - , 3 , 5 , 4 , 4 ,6,5,12,9,17,3,7,7,D,6,7,4,12,6,5,8,8,10,11,14,13
38,Netherlands, 1193 , 1424 , 1283 , 1586 , 1430 , 1239 , 1196 , 1423 , 1059 ,917,777,1337,1679,1549,981,1303,1815,1651,1368,1240,1499,1321,1085,1091,1142,1195,1309,1319,1056,998
39,Norway, 482 , 524 , 486 , 665 , 608 , 459 , 420 , 478 , 372 ,298,308,459,547,431,320,405,423,481,343,350,407,334,339,276,335,271,310,362,290,284
40,Poland, 15101 , 20537 , 19199 , 25504 , 27846 , 28048 , 13824 , 15772 , 12038 ,8469,8798,10090,11769,12711,10510,14326,15351,17051,10355,8354,8754,7643,6863,6300,6430,5689,5275,5603,4845,4357
41,Portugal, 3758 , 4035 , 4524 , 2748 , 2081 , 2169 , 2615 , 2984 , 1665 ,1536,1071,1343,1609,1313,808,1069,1125,1409,1019,772,946,755,821,811,918,892,857,1006,939,889
42,Romania, 4573 , 4647 , 8096 , 6500 , 5601 , 3444 , 4871 , 5801 , 5545 ,5112,5686,6863,6628,4887,3655,4571,7103,7137,5802,4930,4910,4003,3882,3748,3773,3246,3376,3554,2953,2448
43,Russia, X , X , X , 8857 , 12079 , 15249 , 14560 , 19668 , 16632 ,11529,12347,16940,20313,20771,13935,17410,18055,13159,9426,11695,8238,6718,7944,9969,9753,9079,8799,9297,8918,8621
46,Slovenia, X , X , X , 8 , 50 , 67 , 65 , 77 , 62 ,57,58,76,142,140,64,88,114,115,87,79,108,74,69,86,62,78,107,119,108,95
48,Spain, 1550 , 1886 , 1849 , 1631 , 1388 , 1418 , 1321 , 1659 , 1241 ,1043,874,1254,1711,1361,917,1339,1888,1971,1578,1621,1769,1684,1890,1842,2480,2928,3303,3519,3045,2841
49,Sweden, 1078 , 1196 , 1080 , 1463 , 1393 , 1140 , 976 , 1251 , 958 ,823,822,1264,1682,1376,963,1270,1517,1376,1145,1019,1138,1097,979,968,1106,954,1066,1144,950,889
