,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,1141.0,1392.0,1047.0,1539.0,1994.0,2014.0,3936.0,1724.0,1693.0,2638.0,2832.0,1938.0,1424.0,1235.0,1323.0,1464.0,2018.0,2013.0,2650.0,2588.0,2230.0,1998.0,1758.0,2074.0,1853.0,1589.0,1444.0,1414.0,1569.0
Albania,91.0,80.0,109.0,98.0,125.0,122.0,340.0,399.0,342.0,504.0,826.0,1032.0,2450.0,2284.0,3324.0,3830.0,3964.0,2786.0,2972.0,3483.0,5088.0,4267.0,3615.0,3538.0,3131.0,3237.0,2813.0,2169.0,2203.0
Algeria,95.0,111.0,102.0,120.0,173.0,177.0,208.0,138.0,123.0,209.0,426.0,469.0,615.0,493.0,616.0,722.0,825.0,578.0,894.0,1024.0,808.0,773.0,891.0,841.0,928.0,943.0,1035.0,949.0,918.0
All other countries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,34.0,26.0,28.0,30.0,37.0,32.0,40.0,65.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All other countries 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,45.0,40.0,41.0,41.0,41.0,42.0,38.0,42.0
American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,97.0,102.0,117.0,137.0,294.0,247.0,161.0,178.0,265.0,232.0,205.0,180.0,265.0,187.0,296.0,285.0,216.0,182.0
Andorra,6.0,3.0,5.0,3.0,6.0,5.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,58.0,30.0,35.0,50.0,77.0,38.0,57.0,55.0,45.0,43.0,113.0,85.0,68.0,64.0,87.0,86.0,106.0,105.0,161.0,95.0,135.0,162.0,166.0,143.0,145.0,132.0,131.0,125.0,147.0
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,38.0,30.0,24.0,18.0,27.0,35.0,37.0,47.0,29.0,26.0,38.0,30.0,26.0,18.0,31.0,16.0,20.0,34.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,386.0,390.0,366.0,358.0,381.0,383.0,311.0,356.0
Antigua-Barbuda,339.0,478.0,376.0,439.0,617.0,658.0,899.0,714.0,808.0,962.0,938.0,477.0,450.0,325.0,357.0,371.0,520.0,416.0,661.0,456.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,1466.0,1850.0,1237.0,1611.0,2488.0,2700.0,5040.0,2112.0,1608.0,2959.0,3416.0,2204.0,2129.0,1879.0,1965.0,1976.0,2695.0,2348.0,4170.0,3153.0,3140.0,3870.0,3909.0,4177.0,3683.0,3886.0,4015.0,3486.0,3977.0
Armenia,0.0,0.0,6.0,136.0,645.0,1240.0,3524.0,4151.0,4701.0,5769.0,2554.0,1968.0,1814.0,1673.0,1793.0,1737.0,1605.0,1495.0,2195.0,2021.0,3168.0,3965.0,3285.0,3203.0,2488.0,2874.0,2516.0,1994.0,2085.0
Aruba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,41.0,49.0,28.0,30.0,39.0,44.0,36.0,55.0,37.0,27.0,40.0,27.0,42.0,28.0,37.0,28.0,32.0,33.0
Australia,110.0,116.0,140.0,230.0,321.0,271.0,454.0,275.0,256.0,472.0,433.0,391.0,424.0,882.0,1295.0,1155.0,1240.0,1067.0,1636.0,1392.0,1202.0,1291.0,1312.0,1296.0,1159.0,1379.0,1389.0,1235.0,1545.0
Austria,83.0,113.0,100.0,199.0,281.0,284.0,347.0,171.0,160.0,215.0,289.0,270.0,275.0,240.0,277.0,307.0,359.0,292.0,357.0,303.0,277.0,271.0,241.0,248.0,223.0,207.0,221.0,177.0,238.0
Azerbaijan,0.0,0.0,0.0,0.0,4.0,32.0,233.0,321.0,346.0,783.0,1315.0,946.0,1187.0,886.0,793.0,904.0,997.0,606.0,834.0,1005.0,1233.0,1153.0,958.0,786.0,585.0,568.0,574.0,483.0,512.0
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.0,392.0,401.0,342.0,378.0,343.0,574.0,397.0,838.0,569.0,475.0,609.0,647.0,681.0,545.0,570.0,590.0,481.0,590.0
"Bahamas, The",161.0,151.0,156.0,140.0,234.0,208.0,628.0,303.0,248.0,646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
