State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,"1,894","2,246","2,562","1,689","2,247","4,200","4,277","3,393","3,877","3,891","3,740","4,063","3,873","3,848","3,685","3,928","4,736","3,801","3,737"
Alaska,"1,364","1,389","1,557","1,188","1,261","1,524","1,554","1,617","1,534","1,608","1,703","1,799","1,612","1,460","1,505","1,572","1,726","1,547","1,375"
Arizona,"11,935","16,197","17,588","10,955","19,507","18,986","21,529","17,528","20,638","20,997","18,243","20,333","18,434","16,097","16,908","17,997","20,694","19,344","18,335"
Arkansas,"1,594","2,561","2,531","1,903","2,288","2,698","2,924","2,722","2,997","2,942","2,684","2,874","2,795","2,900","2,793","2,814","3,158","3,071","3,000"
California,"216,447","281,469","289,422","175,579","253,858","232,014","264,667","228,941","238,444","227,876","208,446","210,591","196,622","191,806","198,379","209,568","223,141","214,243","200,897"
Colorado,"8,167","12,451","12,027","10,661","11,255","11,975","12,713","11,039","12,741","12,841","12,489","13,547","13,327","11,108","10,872","12,661","14,225","14,520","13,913"
Connecticut,"11,263","12,089","11,213","8,274","12,335","15,334","18,697","12,932","12,190","13,632","12,222","12,577","12,237","10,985","11,252","11,102","12,669","11,938","11,629"
Delaware,"1,563","1,847","1,856","1,487","1,705","2,991","2,263","2,085","2,295","2,184","2,198","2,355","2,208","2,325","2,085","2,168","2,204","2,244","1,831"
District of Columbia,"2,528","3,034","2,719","2,491","2,148","2,457","3,775","2,541","2,652","2,934","2,897","2,724","2,811","2,981","3,169","2,976","3,114","2,885","2,775"
Florida,"94,474","104,148","90,460","52,770","76,178","122,915","155,986","126,277","133,445","127,006","107,276","109,229","103,047","102,939","109,310","118,873","136,337","127,609","130,405"
Georgia,"14,707","19,370","20,496","10,794","16,681","31,527","32,202","27,353","27,769","28,396","24,833","27,015","26,134","24,387","23,792","25,919","29,572","26,242","26,725"
Guam,"1,551","1,720","1,685","1,355","1,275","1,436","1,716","1,438","1,305","1,427","1,383","1,313","1,430","1,210","1,089","1,249","1,147","1,107","1,231"
Hawaii,"6,047","6,282","5,478","4,899","6,405","6,480","7,499","7,236","6,572","6,929","7,037","7,296","6,764","6,226","5,741","6,513","6,285","5,396","5,430"
Idaho,"1,914","2,285","2,229","1,686","2,299","2,768","2,377","2,044","2,766","3,120","2,556","2,602","2,428","2,120","2,202","2,531","2,562","2,709","2,728"
Illinois,"36,052","48,087","47,095","32,413","46,896","52,415","52,452","41,971","42,723","41,889","37,909","38,325","38,373","35,988","36,535","40,482","43,207","40,530","38,287"
Indiana,"4,105","5,980","6,838","5,241","6,262","6,913","8,122","6,639","8,028","9,087","8,539","8,262","8,359","7,668","8,008","8,554","9,946","10,052","9,741"
Iowa,"3,035","5,014","5,570","3,419","4,067","4,535","4,085","3,103","3,696","3,963","4,245","4,624","4,679","4,105","4,225","5,047","5,299","5,577","5,484"
Kansas,"4,554","4,018","4,500","3,804","4,139","4,512","4,277","4,141","5,344","5,319","5,501","5,086","4,980","5,000","4,861","5,419","5,709","5,703","5,630"
Kentucky,"2,902","4,525","4,667","3,038","3,820","5,265","5,504","4,340","5,315","5,260","4,930","5,403","5,243","5,159","5,634","5,647","7,098","7,537","8,734"
Louisiana,"2,981","3,751","3,176","2,214","3,095","3,776","2,693","3,475","4,011","4,299","4,397","4,226","4,454","4,355","4,382","4,696","5,784","4,688","4,889"
Maine,"1,123","1,185","1,265",992,"1,322","1,907","1,717","1,488","1,617","1,675","1,349","1,467","1,497","1,208","1,382","1,464","1,748","1,594","1,749"
Maryland,"17,565","21,919","23,677","17,770","20,549","22,868","30,199","24,255","27,062","26,722","26,450","25,778","24,971","25,361","24,787","22,627","26,077","25,095","24,301"
Massachusetts,"23,302","28,847","31,498","20,127","28,067","34,232","35,558","30,555","30,369","32,607","31,069","32,236","31,392","29,482","29,776","28,535","35,706","37,010","33,174"
Michigan,"16,655","21,386","21,724","13,515","18,851","23,591","20,907","18,727","17,947","18,919","18,579","18,347","17,494","16,952","18,185","18,049","22,569","18,927","19,850"
Minnesota,"8,554","11,091","13,477","8,406","12,097","15,449","18,249","13,814","15,832","18,020","12,408","12,389","12,999","12,781","13,764","14,737","15,603","16,009","16,721"
Mississippi,"1,074","1,338","1,145",729,"1,312","1,829","1,480","1,593","1,679","1,652","1,709","1,666","1,583","1,716","1,587","1,587","2,149","1,793","1,643"
Missouri,"5,988","7,574","8,585","6,160","7,050","8,742","6,852","6,459","7,078","7,142","7,151","7,048","6,635","6,345","6,419","6,731","6,868","7,707","7,638"
