TABLE 3.  IMMIGRANTS ADMITTED BY COUNTRY AND REGION OF BIRTH,,,,,,,,,,,,
FISCAL YEARS 1989-99,,,,,,,,,,,,
,,,,,,,,,,,,
Region and country of birth,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998 1,1999,
,,,,,,,,,,,,
All countries," 1,090,924 "," 1,536,483 "," 1,827,167 "," 973,977 "," 904,292 "," 804,416 "," 720,461 "," 915,900 "," 798,378 "," 654,451 "," 646,568 ",
Europe                     ," 82,891 "," 112,401 "," 135,234 "," 145,392 "," 158,254 "," 160,916 "," 128,185 "," 147,581 "," 119,871 ","90,793","92,672",
Albania, 71 , 78 , 142 , 682 ," 1,400 "," 1,489 "," 1,420 "," 4,007 "," 4,375 ","4,221","3,699",
Andorra, 4 , 5 , 1 , 2 , 2 , 2 , - , 5 , 3 ,-,-,
Armenia, X , X , X ," 6,145 "," 6,287 "," 3,984 "," 1,992 "," 2,441 "," 2,094 ","1,146","1,257",
Austria, 501 , 675 , 589 , 701 , 549 , 499 , 518 , 554 , 487 ,291,231,
Azerbaijan, X , X , X ," 1,640 "," 2,943 "," 2,844 "," 1,885 "," 1,991 "," 1,450 ",504,746,
Belarus, X , X , X ," 3,233 "," 4,702 "," 5,420 "," 3,791 "," 4,268 "," 3,062 ",981,"1,326",
Belgium, 548 , 682 , 525 , 780 , 657 , 516 , 569 , 651 , 554 ,421,428,
Bosnia-Herzegovina, X , X , X , 15 , 159 , 521 ," 4,061 "," 6,499 "," 6,392 ","4,212","5,442",
Bulgaria, 265 , 428 , 623 ," 1,049 "," 1,029 ", 981 ," 1,797 "," 2,066 "," 2,774 ","3,735","4,172",
Croatia, X , X , X , 77 , 370 , 412 , 608 , 810 , 720 ,549,584,
Czech Republic, X , X , X , X , - , 11 , 72 , 165 , 186 ,144,145,
Czechoslovakia  2, 992 ," 1,412 "," 1,156 "," 1,181 ", 990 , 642 , 599 , 561 , 395 ,342,319,
Denmark, 593 , 666 , 601 , 764 , 735 , 606 , 551 , 608 , 429 ,457,368,
Estonia, 14 , 20 , 23 , 194 , 191 , 272 , 205 , 280 , 285 ,128,142,
Finland, 325 , 369 , 333 , 525 , 544 , 471 , 476 , 602 , 376 ,314,309,
France," 2,598 "," 2,849 "," 2,450 "," 3,288 "," 2,864 "," 2,715 "," 2,505 "," 3,079 "," 2,568 ","2,352","2,209",
Georgia, X , X , X , 426 , 429 , 652 , 710 ," 1,157 ", 812 ,295,311,
Germany, X , X ," 6,509 "," 9,888 "," 7,312 "," 6,992 "," 6,237 "," 6,748 "," 5,723 ","5,472","5,201",
"Germany, East", 137 , 105 , X , X , X , X , X , X , X , X , X ,
"Gernany, West"," 6,708 "," 7,338 ", X , X , X , X , X , X , X , X , X ,
Gibraltar, 2 , 1 , 1 , 4 , 5 , 6 , 7 , 6 , 3 ,1,4,
Greece," 2,491 "," 2,742 "," 2,079 "," 1,858 "," 1,884 "," 1,440 "," 1,309 "," 1,452 "," 1,049 ",863,727,
Hungary," 1,193 "," 1,655 "," 1,534 "," 1,304 "," 1,091 ", 880 , 900 ," 1,183 ", 949 ,809,698,
Iceland, 124 , 107 , 117 , 156 , 164 , 140 , 125 , 182 , 119 ,111,79,
Ireland," 6,961 "," 10,333 "," 4,767 "," 12,226 "," 13,590 "," 17,256 "," 5,315 "," 1,731 "," 1,001 ",944,812,
Italy," 2,910 "," 3,287 "," 2,619 "," 2,592 "," 2,487 "," 2,305 "," 2,231 "," 2,501 "," 1,982 ","1,831","1,530",
Kazakhstan, X , X , X , 506 , 628 , 750 , 840 ," 1,089 "," 1,025 ",540,723,
Kyrgyzstan, X , X , X , 134 , 124 , 226 , 209 , 280 , 287 ,111,189,
Latvia, 57 , 45 , 86 , 419 , 668 , 762 , 651 , 736 , 615 ,370,444,
Liechtenstein, 4 , 3 , 3 , 1 , 3 , - , 2 , 1 , 1 ,1,1,
Lithuania, 63 , 67 , 157 , 353 , 529 , 663 , 767 ," 1,080 ", 812 ,"1,191","1,149",
Luxembourg, 16 , 31 , 21 , 25 , 14 , 24 , 15 , 32 , 28 ,21,11,
Macedonia, X , X , X , X , X , 367 , 666 , 863 , 783 ,785,571,
Malta, 74 , 77 , 83 , 85 , 52 , 75 , 72 , 52 , 54 ,59,43,
Moldova, X , X , X ," 1,705 "," 2,646 "," 2,260 "," 1,856 "," 1,849 "," 1,347 ",562,754,
Monaco, 3 , 2 , 5 , 4 , - , 3 , 5 , 4 , 4 ,6,5,
Netherlands," 1,193 "," 1,424 "," 1,283 "," 1,586 "," 1,430 "," 1,239 "," 1,196 "," 1,423 "," 1,059 ",917,777,
Norway, 482 , 524 , 486 , 665 , 608 , 459 , 420 , 478 , 372 ,298,308,
Poland," 15,101 "," 20,537 "," 19,199 "," 25,504 "," 27,846 "," 28,048 "," 13,824 "," 15,772 "," 12,038 ","8,469","8,798",
