State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,1894,2246,2562,1689,2247,4200,4277,3393,3877,3891,3740,4063,3873,3848,3685,3928,4736,3801,3737
Alaska,1364,1389,1557,1188,1261,1524,1554,1617,1534,1608,1703,1799,1612,1460,1505,1572,1726,1547,1375
Arizona,11935,16197,17588,10955,19507,18986,21529,17528,20638,20997,18243,20333,18434,16097,16908,17997,20694,19344,18335
Arkansas,1594,2561,2531,1903,2288,2698,2924,2722,2997,2942,2684,2874,2795,2900,2793,2814,3158,3071,3000
California,216447,281469,289422,175579,253858,232014,264667,228941,238444,227876,208446,210591,196622,191806,198379,209568,223141,214243,200897
Colorado,8167,12451,12027,10661,11255,11975,12713,11039,12741,12841,12489,13547,13327,11108,10872,12661,14225,14520,13913
Connecticut,11263,12089,11213,8274,12335,15334,18697,12932,12190,13632,12222,12577,12237,10985,11252,11102,12669,11938,11629
Delaware,1563,1847,1856,1487,1705,2991,2263,2085,2295,2184,2198,2355,2208,2325,2085,2168,2204,2244,1831
District of Columbia,2528,3034,2719,2491,2148,2457,3775,2541,2652,2934,2897,2724,2811,2981,3169,2976,3114,2885,2775
Florida,94474,104148,90460,52770,76178,122915,155986,126277,133445,127006,107276,109229,103047,102939,109310,118873,136337,127609,130405
Georgia,14707,19370,20496,10794,16681,31527,32202,27353,27769,28396,24833,27015,26134,24387,23792,25919,29572,26242,26725
Guam,1551,1720,1685,1355,1275,1436,1716,1438,1305,1427,1383,1313,1430,1210,1089,1249,1147,1107,1231
Hawaii,6047,6282,5478,4899,6405,6480,7499,7236,6572,6929,7037,7296,6764,6226,5741,6513,6285,5396,5430
Idaho,1914,2285,2229,1686,2299,2768,2377,2044,2766,3120,2556,2602,2428,2120,2202,2531,2562,2709,2728
Illinois,36052,48087,47095,32413,46896,52415,52452,41971,42723,41889,37909,38325,38373,35988,36535,40482,43207,40530,38287
Indiana,4105,5980,6838,5241,6262,6913,8122,6639,8028,9087,8539,8262,8359,7668,8008,8554,9946,10052,9741
Iowa,3035,5014,5570,3419,4067,4535,4085,3103,3696,3963,4245,4624,4679,4105,4225,5047,5299,5577,5484
Kansas,4554,4018,4500,3804,4139,4512,4277,4141,5344,5319,5501,5086,4980,5000,4861,5419,5709,5703,5630
Kentucky,2902,4525,4667,3038,3820,5265,5504,4340,5315,5260,4930,5403,5243,5159,5634,5647,7098,7537,8734
Louisiana,2981,3751,3176,2214,3095,3776,2693,3475,4011,4299,4397,4226,4454,4355,4382,4696,5784,4688,4889
Maine,1123,1185,1265,992,1322,1907,1717,1488,1617,1675,1349,1467,1497,1208,1382,1464,1748,1594,1749
Maryland,17565,21919,23677,17770,20549,22868,30199,24255,27062,26722,26450,25778,24971,25361,24787,22627,26077,25095,24301
Massachusetts,23302,28847,31498,20127,28067,34232,35558,30555,30369,32607,31069,32236,31392,29482,29776,28535,35706,37010,33174
Michigan,16655,21386,21724,13515,18851,23591,20907,18727,17947,18919,18579,18347,17494,16952,18185,18049,22569,18927,19850
Minnesota,8554,11091,13477,8406,12097,15449,18249,13814,15832,18020,12408,12389,12999,12781,13764,14737,15603,16009,16721
Mississippi,1074,1338,1145,729,1312,1829,1480,1593,1679,1652,1709,1666,1583,1716,1587,1587,2149,1793,1643
Missouri,5988,7574,8585,6160,7050,8742,6852,6459,7078,7142,7151,7048,6635,6345,6419,6731,6868,7707,7638
Montana,488,484,419,453,452,589,505,575,543,553,457,511,503,445,451,519,566,529,565
Nebraska,2201,3839,3655,2827,3002,2996,3795,3066,3668,3989,4400,4535,4384,4141,4442,5234,5654,5327,6500
Nevada,7757,9459,9447,6336,8798,9823,14713,12308,11768,12334,10803,10449,10343,9886,10089,11053,11555,12733,10851
New Hampshire,1992,2578,2995,1868,2280,3298,2987,2272,2466,2483,2556,2478,2466,2227,2103,2159,2332,2279,2200
New Jersey,39778,59587,57478,40699,50699,56176,65931,55834,53997,58879,56920,55547,50790,53082,51609,49801,56187,54440,54424
New Mexico,3951,5186,3374,2336,3076,3513,3805,3112,3509,3887,3528,3767,3714,3664,3359,3626,4104,4002,4296
New York,105521,113698,114531,89538,103151,136815,180157,136739,143679,150722,147999,148426,149505,133601,141406,130010,159878,139409,134839
North Carolina,9193,13861,12868,9451,11036,16710,18987,15469,15174,18562,16112,17571,17487,16798,17152,18495,20811,21184,20838
North Dakota,414,556,770,331,591,864,649,496,662,843,1058,948,1144,1234,1351,1600,1595,1471,1674
Ohio,9201,14653,13827,9787,12072,16892,16585,14078,14595,15375,13585,13857,13948,13819,14641,16050,17251,16894,18809
